<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,121500,242.3500000,242.4500000,242.3500000,242.3600000,40310
SBER,1,20201123,121600,242.4000000,242.4500000,242.3000000,242.3600000,20980
SBER,1,20201123,121700,242.3800000,242.5500000,242.3000000,242.5100000,117510
SBER,1,20201123,121800,242.4600000,242.4700000,242.3600000,242.4100000,28790
SBER,1,20201123,121900,242.3900000,242.4500000,242.2100000,242.4500000,122730
SBER,1,20201123,122000,242.4500000,242.5000000,242.4100000,242.5000000,35690
SBER,1,20201123,122100,242.4900000,242.5400000,242.3900000,242.4300000,44590
SBER,1,20201123,122200,242.4000000,242.4800000,242.3700000,242.4700000,26160
SBER,1,20201123,122300,242.4800000,242.4800000,242.3700000,242.4000000,59870
SBER,1,20201123,122400,242.4000000,242.5000000,242.4000000,242.5000000,31480
SBER,1,20201123,122500,242.4800000,242.5300000,242.4700000,242.4900000,43800
SBER,1,20201123,122600,242.5300000,242.5400000,242.3800000,242.4200000,84980
SBER,1,20201123,122700,242.4200000,242.5100000,242.1600000,242.2200000,159960
SBER,1,20201123,122800,242.2500000,242.3100000,242.1900000,242.2700000,30660
SBER,1,20201123,122900,242.3000000,242.3900000,242.2400000,242.2900000,85910
SBER,1,20201123,123000,242.2700000,242.3700000,242.2700000,242.3700000,16150
SBER,1,20201123,123100,242.3700000,242.4100000,242.3700000,242.4100000,25760
SBER,1,20201123,123200,242.4000000,242.4300000,242.3800000,242.4200000,33010
SBER,1,20201123,123300,242.4100000,242.4400000,242.3300000,242.3900000,37900
SBER,1,20201123,123400,242.3900000,242.4100000,242.2500000,242.3300000,140110
SBER,1,20201123,123500,242.2900000,242.3300000,242.1300000,242.2900000,47480
SBER,1,20201123,123600,242.2400000,242.2800000,242.1100000,242.1100000,28460
SBER,1,20201123,123700,242.1400000,242.1400000,242.0400000,242.0700000,111130
SBER,1,20201123,123800,242.0700000,242.2500000,241.9500000,242.0100000,153580
SBER,1,20201123,123900,242.0100000,242.0100000,241.8100000,241.9600000,193520
SBER,1,20201123,124000,241.9800000,242.1100000,241.9300000,242.0100000,63120
