<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201201,115600,253.6000000,253.9600000,253.6000000,253.8500000,135340
SBER,1,20201201,115700,253.8100000,253.8800000,253.7800000,253.8400000,16810
SBER,1,20201201,115800,253.8800000,253.9200000,253.8000000,253.9100000,29670
SBER,1,20201201,115900,253.8700000,253.9700000,253.8300000,253.8300000,56420
SBER,1,20201201,120000,253.8400000,253.9100000,253.7100000,253.8800000,39920
SBER,1,20201201,120100,253.8800000,254.1500000,253.8400000,253.9800000,250020
SBER,1,20201201,120200,254.0200000,254.0900000,253.8600000,253.9100000,64940
SBER,1,20201201,120300,253.9100000,253.9400000,253.8000000,253.9000000,27080
SBER,1,20201201,120400,253.9200000,254.2000000,253.8800000,254.1400000,72900
SBER,1,20201201,120500,254.1900000,254.4000000,254.1700000,254.2800000,273180
SBER,1,20201201,120600,254.2400000,254.4600000,254.2100000,254.4000000,125960
SBER,1,20201201,120700,254.4000000,254.5200000,254.2800000,254.4000000,189440
SBER,1,20201201,120800,254.4300000,254.5200000,254.2600000,254.4100000,152740
SBER,1,20201201,120900,254.4300000,254.4500000,254.2600000,254.4500000,85680
SBER,1,20201201,121000,254.4400000,254.6700000,254.4100000,254.5200000,231930
SBER,1,20201201,121100,254.5200000,254.6000000,254.4500000,254.5100000,105330
SBER,1,20201201,121200,254.5000000,254.6800000,254.4900000,254.5900000,77220
SBER,1,20201201,121300,254.5900000,254.7000000,254.4900000,254.5400000,170720
SBER,1,20201201,121400,254.5900000,254.6400000,254.5400000,254.5400000,32500
SBER,1,20201201,121500,254.5400000,254.5900000,254.4000000,254.4600000,68320
SBER,1,20201201,121600,254.4600000,254.5400000,254.2600000,254.2800000,210960
SBER,1,20201201,121700,254.2500000,254.4600000,254.2500000,254.3500000,68680
SBER,1,20201201,121800,254.3400000,254.3700000,254.0500000,254.1900000,122760
SBER,1,20201201,121900,254.1700000,254.2300000,254.0700000,254.0700000,74720
SBER,1,20201201,122000,254.1000000,254.2000000,254.0900000,254.1500000,21510
SBER,1,20201201,122100,254.1500000,254.2700000,254.1500000,254.2500000,59530
SBER,1,20201201,122200,254.2300000,254.4000000,254.1800000,254.3200000,57240
SBER,1,20201201,122300,254.3700000,254.4800000,254.3200000,254.4500000,64750
SBER,1,20201201,122400,254.4700000,254.5300000,254.4100000,254.5300000,39580
SBER,1,20201201,122500,254.5300000,254.6800000,254.5300000,254.6300000,72900
SBER,1,20201201,122600,254.6100000,254.7900000,254.5300000,254.7100000,344870
SBER,1,20201201,122700,254.7600000,254.8200000,254.5300000,254.6700000,245310
SBER,1,20201201,122800,254.6700000,254.8900000,254.6300000,254.7900000,86430
SBER,1,20201201,122900,254.8300000,254.8900000,254.7300000,254.8200000,115010
SBER,1,20201201,123000,254.8300000,254.9100000,254.8000000,254.8000000,224130
SBER,1,20201201,123100,254.8400000,254.8800000,254.5200000,254.5200000,303840
SBER,1,20201201,123200,254.5400000,254.8100000,254.5300000,254.6600000,193740
SBER,1,20201201,123300,254.6900000,254.7200000,254.5600000,254.5800000,40090
SBER,1,20201201,123400,254.6000000,254.6600000,254.3600000,254.3800000,64570
SBER,1,20201201,123500,254.3600000,254.5300000,254.3200000,254.3200000,79130
SBER,1,20201201,123600,254.3600000,254.4300000,254.2600000,254.2600000,74200
SBER,1,20201201,123700,254.2600000,254.3000000,253.9700000,254.1300000,474090
SBER,1,20201201,123800,254.1700000,254.3000000,254.1000000,254.1200000,29820
SBER,1,20201201,123900,254.1500000,254.2900000,254.1500000,254.2200000,32410
SBER,1,20201201,124000,254.2200000,254.3000000,253.9400000,254.1400000,276430
SBER,1,20201201,124100,254.1500000,254.2900000,254.0800000,254.2300000,87410
SBER,1,20201201,124200,254.2900000,254.3000000,253.9600000,253.9600000,148390
SBER,1,20201201,124300,254.0200000,254.2000000,253.9900000,254.1500000,57060
SBER,1,20201201,124400,254.1900000,254.2300000,254.1600000,254.1800000,17330
SBER,1,20201201,124500,254.2000000,254.2200000,254.1000000,254.1000000,23950
SBER,1,20201201,124600,254.1000000,254.2000000,253.9900000,254.0400000,87350
SBER,1,20201201,124700,254.0200000,254.0300000,253.9300000,254.0000000,39550
SBER,1,20201201,124800,254.0000000,254.0500000,253.7800000,253.9400000,344750
SBER,1,20201201,124900,253.9600000,253.9800000,253.7700000,253.9400000,50550
SBER,1,20201201,125000,253.9400000,254.0000000,253.8900000,253.9300000,37630
SBER,1,20201201,125100,253.9700000,254.1000000,253.8900000,253.9100000,58760
SBER,1,20201201,125200,253.9400000,254.0500000,253.9000000,254.0000000,42050
SBER,1,20201201,125300,253.9900000,254.1900000,253.9300000,254.0800000,74910
SBER,1,20201201,125400,254.1000000,254.4000000,254.0800000,254.3500000,161510
SBER,1,20201201,125500,254.2900000,254.3800000,254.1600000,254.2000000,51900
SBER,1,20201201,125600,254.1600000,254.2400000,254.1200000,254.1200000,36330
SBER,1,20201201,125700,254.1200000,254.1200000,254.0000000,254.0000000,54540
SBER,1,20201201,125800,254.0000000,254.0700000,253.9300000,253.9700000,39770
SBER,1,20201201,125900,253.9700000,253.9900000,253.8700000,253.9400000,15120
SBER,1,20201201,130000,253.9300000,253.9300000,253.8000000,253.8000000,60650
SBER,1,20201201,130100,253.7900000,253.9400000,253.7600000,253.9400000,16430
SBER,1,20201201,130200,253.9400000,253.9400000,253.7900000,253.8700000,66700
SBER,1,20201201,130300,253.8900000,254.0500000,253.8300000,253.9600000,48890
SBER,1,20201201,130400,253.9600000,254.0000000,253.8900000,253.9400000,24120
SBER,1,20201201,130500,253.9500000,254.1100000,253.9100000,253.9900000,37560
SBER,1,20201201,130600,253.9800000,253.9800000,253.8700000,253.9300000,13290
SBER,1,20201201,130700,253.9500000,254.1100000,253.9500000,254.0800000,21220
SBER,1,20201201,130800,254.0800000,254.1700000,254.0800000,254.1300000,16760
SBER,1,20201201,130900,254.1200000,254.2000000,254.1200000,254.1700000,13890
SBER,1,20201201,131000,254.1700000,254.3500000,254.1400000,254.1400000,85100
SBER,1,20201201,131100,254.1400000,254.1400000,254.0000000,254.0300000,92070
SBER,1,20201201,131200,254.0100000,254.2400000,254.0100000,254.1400000,51000
SBER,1,20201201,131300,254.1700000,254.1700000,254.0400000,254.1300000,18960
SBER,1,20201201,131400,254.1400000,254.1400000,254.0500000,254.0700000,9110
SBER,1,20201201,131500,254.0700000,254.1000000,254.0400000,254.0500000,17490
SBER,1,20201201,131600,254.0400000,254.0500000,253.8800000,253.8800000,43140
SBER,1,20201201,131700,253.8700000,253.9000000,253.8500000,253.8700000,32760
SBER,1,20201201,131800,253.8700000,253.8800000,253.8300000,253.8500000,73780
SBER,1,20201201,131900,253.8300000,253.9500000,253.8300000,253.8700000,33380
SBER,1,20201201,132000,253.8400000,254.1600000,253.8200000,254.1300000,60890
SBER,1,20201201,132100,254.1300000,254.2000000,254.1200000,254.1500000,31260
SBER,1,20201201,132200,254.1900000,254.1900000,254.1100000,254.1100000,10630
SBER,1,20201201,132300,254.1000000,254.1300000,254.0800000,254.0800000,11180
SBER,1,20201201,132400,254.1100000,254.1300000,253.9900000,254.1000000,30940
SBER,1,20201201,132500,254.1200000,254.1900000,254.1100000,254.1500000,13560
SBER,1,20201201,132600,254.1600000,254.1900000,254.1300000,254.1300000,7010
SBER,1,20201201,132700,254.1500000,254.1700000,254.1000000,254.1300000,8030
SBER,1,20201201,132800,254.1300000,254.1300000,253.9200000,253.9600000,59580
SBER,1,20201201,132900,253.9600000,254.0000000,253.9200000,253.9500000,21200
SBER,1,20201201,133000,253.9500000,254.0000000,253.9200000,253.9300000,24390
SBER,1,20201201,133100,253.9300000,254.0500000,253.9200000,254.0300000,25810
SBER,1,20201201,133200,254.0200000,254.0600000,254.0100000,254.0200000,11940
SBER,1,20201201,133300,254.0300000,254.0900000,254.0200000,254.0700000,23750
SBER,1,20201201,133400,254.0400000,254.0800000,253.9400000,254.0700000,44720
SBER,1,20201201,133500,254.0100000,254.0600000,253.9000000,254.0500000,167200
SBER,1,20201201,133600,254.0400000,254.0900000,254.0200000,254.0400000,34390
SBER,1,20201201,133700,254.0400000,254.0600000,253.8900000,253.9500000,69050
SBER,1,20201201,133800,253.9400000,254.0200000,253.8400000,253.9100000,40720
SBER,1,20201201,133900,253.9200000,254.0100000,253.9200000,253.9800000,11320
SBER,1,20201201,134000,253.9800000,254.0500000,253.8900000,253.9400000,21060
SBER,1,20201201,134100,253.9000000,253.9300000,253.8800000,253.9100000,13770
SBER,1,20201201,134200,253.8900000,253.9900000,253.8900000,253.9300000,32260
SBER,1,20201201,134300,253.9300000,253.9300000,253.9000000,253.9100000,16200
SBER,1,20201201,134400,253.9200000,254.1000000,253.9100000,254.0600000,148900
SBER,1,20201201,134500,254.0400000,254.1700000,254.0400000,254.1500000,35640
SBER,1,20201201,134600,254.1600000,254.1700000,254.1400000,254.1400000,16880
SBER,1,20201201,134700,254.1500000,254.2300000,254.1100000,254.2300000,41290
SBER,1,20201201,134800,254.2400000,254.2900000,254.2100000,254.2400000,36510
SBER,1,20201201,134900,254.2400000,254.2800000,254.2000000,254.2500000,41840
SBER,1,20201201,135000,254.2500000,254.3600000,254.2500000,254.3300000,70930
SBER,1,20201201,135100,254.3300000,254.5000000,254.3300000,254.5000000,149760
SBER,1,20201201,135200,254.4900000,254.5100000,254.2200000,254.2800000,113480
SBER,1,20201201,135300,254.2900000,254.3500000,254.2000000,254.2000000,55910
SBER,1,20201201,135400,254.2000000,254.2700000,254.2000000,254.2000000,18100
SBER,1,20201201,135500,254.2100000,254.4100000,254.2100000,254.4100000,59420
SBER,1,20201201,135600,254.4100000,254.4900000,254.3900000,254.4200000,38570
SBER,1,20201201,135700,254.4300000,254.4500000,254.3900000,254.4200000,17320
SBER,1,20201201,135800,254.4200000,254.4600000,254.4200000,254.4500000,20310
SBER,1,20201201,135900,254.4300000,254.4400000,254.3100000,254.3500000,31860
SBER,1,20201201,140000,254.3400000,254.4500000,254.1700000,254.3700000,80970
SBER,1,20201201,140100,254.3300000,254.4500000,254.3000000,254.4300000,67330
SBER,1,20201201,140200,254.4500000,254.4800000,254.4000000,254.4500000,15520
SBER,1,20201201,140300,254.4500000,254.4600000,254.2700000,254.3800000,42540
SBER,1,20201201,140400,254.3900000,254.3900000,254.3500000,254.3600000,2660
SBER,1,20201201,140500,254.3600000,254.3700000,254.3200000,254.3200000,4870
SBER,1,20201201,140600,254.3200000,254.3700000,254.3000000,254.3500000,14210
SBER,1,20201201,140700,254.3500000,254.4700000,254.3400000,254.4700000,41560
SBER,1,20201201,140800,254.4700000,254.7100000,254.4400000,254.6600000,772580
SBER,1,20201201,140900,254.6600000,254.6800000,254.5900000,254.6200000,39550
SBER,1,20201201,141000,254.6400000,254.8800000,254.6200000,254.7400000,236330
SBER,1,20201201,141100,254.7400000,254.7900000,254.6100000,254.6400000,263610
SBER,1,20201201,141200,254.6600000,254.7500000,254.6000000,254.6300000,45150
SBER,1,20201201,141300,254.6300000,254.6900000,254.5300000,254.6000000,52640
SBER,1,20201201,141400,254.6100000,254.6100000,254.5100000,254.5100000,30530
SBER,1,20201201,141500,254.5500000,254.5600000,254.5100000,254.5500000,25230
SBER,1,20201201,141600,254.5600000,254.8000000,254.5100000,254.7200000,93020
SBER,1,20201201,141700,254.7500000,254.7800000,254.7000000,254.7300000,24590
SBER,1,20201201,141800,254.7100000,254.7500000,254.6600000,254.7200000,33150
SBER,1,20201201,141900,254.7000000,254.7800000,254.6000000,254.6400000,49840
SBER,1,20201201,142000,254.6100000,254.6400000,254.6000000,254.6000000,7080
SBER,1,20201201,142100,254.6100000,254.6900000,254.5900000,254.6000000,40280
SBER,1,20201201,142200,254.6000000,254.6000000,254.5000000,254.5000000,135360
SBER,1,20201201,142300,254.5100000,254.5500000,254.3000000,254.3000000,204070
SBER,1,20201201,142400,254.3100000,254.4700000,254.3100000,254.4700000,32740
SBER,1,20201201,142500,254.4500000,254.4700000,254.4000000,254.4200000,20110
SBER,1,20201201,142600,254.3900000,254.4000000,254.3500000,254.3600000,19740
SBER,1,20201201,142700,254.3700000,254.4700000,254.3500000,254.3900000,201900
SBER,1,20201201,142800,254.4400000,254.5500000,254.3800000,254.4100000,54210
SBER,1,20201201,142900,254.4100000,254.4600000,254.3300000,254.3300000,40510
SBER,1,20201201,143000,254.3300000,254.4000000,254.3000000,254.4000000,23540
SBER,1,20201201,143100,254.3300000,254.3800000,254.3200000,254.3500000,6600
SBER,1,20201201,143200,254.3800000,254.5300000,254.2500000,254.2600000,113980
SBER,1,20201201,143300,254.2600000,254.3500000,254.2200000,254.3300000,45110
SBER,1,20201201,143400,254.3300000,254.3500000,254.2100000,254.2500000,59380
SBER,1,20201201,143500,254.2500000,254.3700000,254.2300000,254.3600000,48380
SBER,1,20201201,143600,254.3200000,254.5900000,254.3200000,254.5400000,88830
SBER,1,20201201,143700,254.5000000,254.5600000,254.3200000,254.3500000,80170
SBER,1,20201201,143800,254.3300000,254.3600000,254.2200000,254.3200000,63810
SBER,1,20201201,143900,254.3200000,254.4200000,254.2400000,254.4100000,31110
SBER,1,20201201,144000,254.4000000,254.5000000,254.3300000,254.4000000,237220
SBER,1,20201201,144100,254.4100000,254.4900000,254.3800000,254.4900000,42660
SBER,1,20201201,144200,254.5000000,254.5000000,254.4100000,254.4900000,32180
SBER,1,20201201,144300,254.4500000,254.5000000,254.4400000,254.4500000,8760
SBER,1,20201201,144400,254.4800000,254.5000000,254.4600000,254.4600000,8570
SBER,1,20201201,144500,254.4900000,254.4900000,254.3000000,254.3300000,53730
SBER,1,20201201,144600,254.3800000,254.4600000,254.2400000,254.4600000,91740
SBER,1,20201201,144700,254.4300000,254.4600000,254.2400000,254.2600000,31090
SBER,1,20201201,144800,254.2600000,254.3900000,254.2400000,254.3800000,40600
SBER,1,20201201,144900,254.3600000,254.3600000,254.2200000,254.2300000,113220
SBER,1,20201201,145000,254.2400000,254.2800000,254.2300000,254.2300000,4650
SBER,1,20201201,145100,254.2300000,254.3900000,254.2300000,254.3900000,65690
SBER,1,20201201,145200,254.3800000,254.3800000,254.2800000,254.3300000,3950
SBER,1,20201201,145300,254.3300000,254.3400000,254.2400000,254.2900000,26820
SBER,1,20201201,145400,254.3000000,254.4100000,254.2700000,254.3100000,33230
SBER,1,20201201,145500,254.3400000,254.3400000,254.0500000,254.1000000,82670
SBER,1,20201201,145600,254.1100000,254.2900000,254.1100000,254.2300000,16550
SBER,1,20201201,145700,254.2500000,254.2700000,254.1300000,254.2100000,36290
SBER,1,20201201,145800,254.1900000,254.1900000,254.0500000,254.0600000,44190
SBER,1,20201201,145900,254.0500000,254.2200000,253.9100000,254.1600000,219720
SBER,1,20201201,150000,254.1700000,254.2700000,254.1700000,254.2300000,21610
SBER,1,20201201,150100,254.2400000,254.2500000,254.1400000,254.2000000,26590
SBER,1,20201201,150200,254.1900000,254.2500000,254.1300000,254.1700000,26320
SBER,1,20201201,150300,254.1700000,254.1700000,254.0900000,254.0900000,33900
SBER,1,20201201,150400,254.0900000,254.1200000,253.9100000,254.0000000,60410
SBER,1,20201201,150500,254.0000000,254.1100000,253.9500000,253.9700000,40750
SBER,1,20201201,150600,253.9900000,254.0500000,253.9200000,254.0500000,28280
SBER,1,20201201,150700,254.0300000,254.1900000,254.0300000,254.1000000,39160
SBER,1,20201201,150800,254.0900000,254.1200000,254.0000000,254.0900000,18350
SBER,1,20201201,150900,254.0900000,254.0900000,254.0400000,254.0700000,13570
SBER,1,20201201,151000,254.0400000,254.0400000,254.0000000,254.0100000,49560
SBER,1,20201201,151100,254.0100000,254.1000000,254.0000000,254.1000000,47560
SBER,1,20201201,151200,254.0900000,254.1000000,253.9600000,254.0000000,30880
SBER,1,20201201,151300,253.9800000,253.9800000,253.8500000,253.8700000,158560
SBER,1,20201201,151400,253.9000000,254.1000000,253.9000000,253.9600000,59610
SBER,1,20201201,151500,253.9600000,254.0100000,253.9100000,254.0100000,46320
SBER,1,20201201,151600,254.0100000,254.1000000,253.8800000,253.9700000,65700
SBER,1,20201201,151700,253.9600000,254.0900000,253.9600000,254.0500000,36620
SBER,1,20201201,151800,254.0500000,254.1500000,253.6700000,253.7500000,293520
SBER,1,20201201,151900,253.7100000,253.8000000,253.6100000,253.6300000,127660
SBER,1,20201201,152000,253.6300000,253.6600000,253.4500000,253.6600000,438900
SBER,1,20201201,152100,253.6500000,253.7500000,253.5800000,253.6900000,74120
SBER,1,20201201,152200,253.6900000,253.7500000,253.6500000,253.7500000,50970
SBER,1,20201201,152300,253.7500000,253.9100000,253.7200000,253.9100000,127490
SBER,1,20201201,152400,253.8700000,253.9800000,253.8500000,253.9500000,49070
SBER,1,20201201,152500,253.9500000,254.1000000,253.9500000,254.0700000,112940
SBER,1,20201201,152600,254.1000000,254.1000000,254.0200000,254.1000000,49520
SBER,1,20201201,152700,254.0800000,254.2000000,254.0800000,254.1800000,49890
SBER,1,20201201,152800,254.1400000,254.2600000,254.1000000,254.1600000,146080
SBER,1,20201201,152900,254.1500000,254.1500000,254.0500000,254.1000000,17910
SBER,1,20201201,153000,254.0800000,254.1400000,254.0600000,254.1000000,68060
SBER,1,20201201,153100,254.1300000,254.1300000,253.9500000,254.0000000,215290
SBER,1,20201201,153200,254.0000000,254.3500000,254.0000000,254.3400000,225550
SBER,1,20201201,153300,254.3100000,254.4400000,254.2900000,254.4100000,102980
SBER,1,20201201,153400,254.4100000,254.5800000,254.4000000,254.4900000,150750
SBER,1,20201201,153500,254.5000000,254.5400000,254.4600000,254.5000000,124900
SBER,1,20201201,153600,254.5400000,254.7000000,254.5100000,254.5900000,161410
SBER,1,20201201,153700,254.5900000,254.7500000,254.5900000,254.6300000,100200
SBER,1,20201201,153800,254.6400000,254.7500000,254.6400000,254.7200000,61390
SBER,1,20201201,153900,254.7400000,254.9100000,254.6900000,254.7800000,444320
SBER,1,20201201,154000,254.7400000,254.8300000,254.5700000,254.7400000,142170
SBER,1,20201201,154100,254.7300000,254.7400000,254.6300000,254.6800000,58860
SBER,1,20201201,154200,254.7000000,254.7400000,254.5700000,254.5700000,55100
SBER,1,20201201,154300,254.5800000,254.6600000,254.4600000,254.5900000,150680
SBER,1,20201201,154400,254.6200000,254.6600000,254.4100000,254.5200000,93130
